DATE (MM/DD/YYYY),HOUR-MST,Avg Global CMP11 (cor) [W/m^2],Avg Zenith Angle [degrees],Avg Azimuth Angle [degrees],Avg Airmass,Avg Tower Dry Bulb Temp [deg C],Avg Total Cloud Cover [%],Avg Avg Wind Speed @ 33ft [m/s],Avg 500nm Research AOD,Avg Albedo (CMP11)
1/1/2020,8,9.3189,89.2701,121.194,19.8985,6.641,3.3667,4.396,0.3788,0.0796
1/1/2020,9,55.4536,80.0739,131.4584,5.9555,9.2727,19.8667,6.7749,1.0303,0.2095
1/1/2020,10,252.3488,72.2978,143.1744,3.2982,10.3625,30.3667,4.9872,0.5937,0.2282
1/1/2020,11,147.6704,66.5194,156.5484,2.505,10.0358,93.95,5.6008,3.2931,0.1895
1/1/2020,12,145.6382,63.332,171.3501,2.2206,7.7141,95.9833,5.9457,4.1392,0.1806
1/1/2020,13,150.3716,63.1401,186.7756,2.2057,8.3276,89.7833,3.9223,3.8119,0.1774
1/1/2020,14,349.4505,65.9703,201.7104,2.4504,9.504,53.2333,4.811,1.0003,0.2085
1/1/2020,15,302.4892,71.4566,215.288,3.1504,10.2512,26.5614,5.9297,0.9037,0.2244
1/1/2020,16,177.3686,79.0186,227.2082,5.3564,8.545,7.2333,7.5511,0.0516,0.2495
1/1/2020,17,19.0963,88.0405,237.6372,20.6794,6.3704,0.2333,7.871,0.3284,0.0834
1/2/2020,8,8.9301,89.2873,121.0573,19.9773,0.4411,0.7333,4.7669,0.406,0.0553
1/2/2020,9,59.9544,80.0751,131.3185,5.9579,0.3785,6.5667,1.6527,0.9935,0.1509
1/2/2020,10,323.2229,72.2779,143.0311,3.2948,3.7862,10.45,2.6169,0.0525,0.2365
1/2/2020,11,432.9459,66.4745,156.4062,2.5006,5.9432,10.65,1.8075,0.0582,0.2227
1/2/2020,12,493.5482,63.2602,171.2182,2.2151,6.4606,9.0667,2.6136,0.0666,0.2191
1/2/2020,13,501.2676,63.0436,186.6647,2.1984,6.6309,11.2,3.752,0.0711,0.2209
1/2/2020,14,447.3481,65.8547,201.6272,2.4393,6.5206,14.4561,3.2482,0.0766,0.2256
1/2/2020,15,336.4915,71.3285,215.2324,3.1294,6.4371,18.8333,5.1068,0.5062,0.2295
