DATE (MM/DD/YYYY),MST,Avg Wind Speed @ 50m [m/s],Temperature @ 50m [deg C],Relative Humidity [%],Station Pressure [mBar],Precipitation (Accumulated) [mm],Avg Wind Direction @ 50m [deg]
1/1/2021 00:14,0:14,2.749,-15.77,46.14,813.382,0,173.4
1/1/2021 00:29,0:29,3.379,-15.78,49.11,813.454,0,185
1/1/2021 00:44,0:44,3.569,-15.82,49.79,813.464,0,191.2
1/1/2021 00:59,0:59,3.308,-15.87,50.48,813.393,0,183.6
1/1/2021 01:14,1:14,3.383,-15.87,47.12,813.366,0,188.1
1/1/2021 01:29,1:29,3.604,-15.92,51.24,813.382,0,184.6
1/1/2021 01:44,1:44,3.298,-15.94,48.38,813.471,0,192.2
1/1/2021 01:59,1:59,2.855,-15.87,50.68,813.582,0,184.4
1/1/2021 02:14,2:14,3.372,-15.85,51.93,813.621,0,172.2
1/1/2021 02:29,2:29,3.607,-15.93,51.7,813.712,0,187.9
1/1/2021 02:44,2:44,2.978,-15.87,51.36,813.803,0,189
1/1/2021 02:59,2:59,3.053,-16.01,50.73,813.687,0,189.6
1/1/2021 03:14,3:14,3.071,-16.02,54.56,813.64,0,195.8
1/1/2021 03:29,3:29,3.246,-16.04,55.41,813.66,0,201.2
1/1/2021 03:44,3:44,3.485,-16.12,56.88,813.581,0,201.2
1/1/2021 03:59,3:59,3.926,-16.01,54.97,813.444,0,206.3
1/1/2021 04:14,4:14,3.232,-15.97,55.86,813.41,0,206.3
1/1/2021 04:29,4:29,2.266,-15.85,54.58,813.457,0,205
1/1/2021 04:44,4:44,1.952,-16.34,53.05,813.581,0,230.4
1/1/2021 04:59,4:59,1.344,-16.08,51.95,813.69,0,234.8
1/1/2021 05:14,5:14,2.357,-16.29,57.67,813.89,0,268.9
1/1/2021 05:29,5:29,2.691,-16.11,52.3,814.035,0,303.9
1/1/2021 05:44,5:44,4.963,-18.38,55.58,814.376,0,347.8
1/1/2021 05:59,5:59,3.92,-17.62,51.49,814.5,0,321.9
1/1/2021 06:14,6:14,2.768,-17.39,47.83,814.705,0,323.6
1/1/2021 06:29,6:29,3.015,-17.15,46.43,814.811,0,309.2
1/1/2021 06:44,6:44,3.894,-17.01,47.21,814.758,0,295.1
1/1/2021 06:59,6:59,3.543,-16.79,47.89,814.853,0,294.7
1/1/2021 07:14,7:14,3.186,-16.73,47.88,814.965,0,295.8
1/1/2021 07:29,7:29,3.68,-16.76,49.6,815.156,0,302.1
1/1/2021 07:44,7:44,3.934,-17.02,49.59,815.453,0,301.9
1/1/2021 07:59,7:59,3.792,-16.83,49.17,815.628,0,292.4
1/1/2021 08:14,8:14,2.998,-16.76,50.44,815.85,0,297.1
1/1/2021 08:29,8:29,3.134,-16.57,51.05,816.115,0,290
1/1/2021 08:44,8:44,3.604,-16.49,50.35,816.292,0,290.6
1/1/2021 08:59,8:59,3.419,-16.52,49.53,816.476,0,297.5
1/1/2021 09:14,9:14,2.788,-16.22,49.19,816.516,0,300.9
1/1/2021 09:29,9:29,2.36,-16.1,49.57,816.62,0,292
1/1/2021 09:44,9:44,0.608,-15.79,49.38,816.69,0,324.1
1/1/2021 09:59,9:59,0.615,-15.8,50.54,816.687,0,38.41
1/1/2021 10:14,10:14,0.571,-15.77,51.09,816.496,0,82.1
1/1/2021 10:29,10:29,0.74,-15.79,51.63,816.341,0,73.17
1/1/2021 10:44,10:44,1.54,-15.65,50.92,816.063,0,80.2
1/1/2021 10:59,10:59,0.413,-15.11,49.14,815.707,0,190.5
1/1/2021 11:14,11:14,1.471,-15.05,48.49,815.391,0,63.52
1/1/2021 11:29,11:29,1.049,-15.06,48.07,815.159,0,103.5
1/1/2021 11:44,11:44,0.354,-15.15,49.23,814.81,0,333.8
1/1/2021 11:59,11:59,1.803,-14.59,47.75,814.552,0,93.5
1/1/2021 12:14,12:14,2.859,-14.36,44.81,814.389,0,159
1/1/2021 12:29,12:29,3.182,-14.61,48.18,814.206,0,107.2
1/1/2021 12:44,12:44,3.182,-14.33,47.67,814.057,0,153.1
1/1/2021 12:59,12:59,1.493,-14.03,47.11,813.994,0,123.9
1/1/2021 13:14,13:14,1.929,-13.9,45.24,813.913,0,149.7
1/1/2021 13:29,13:29,1.228,-14.02,44.03,813.843,0,137.1
1/1/2021 13:44,13:44,2.752,-14.05,43.81,813.777,0,168.1
1/1/2021 13:59,13:59,3.42,-13.95,45.6,813.791,0,129.1
1/1/2021 14:14,14:14,4.194,-13.9,44.54,813.717,0,122.7
1/1/2021 14:29,14:29,3.678,-13.63,44.07,813.828,0,139.2
1/1/2021 14:44,14:44,3.141,-13.62,43.44,813.774,0,153.2
1/1/2021 14:59,14:59,3.577,-13.72,43.5,813.866,0,145.8
1/1/2021 15:14,15:14,4.678,-13.73,44.19,813.852,0,147.9
1/1/2021 15:29,15:29,4.188,-13.68,44.35,814.008,0,178.3
1/1/2021 15:44,15:44,4.891,-13.65,45.14,814.01,0,166.2
1/1/2021 15:59,15:59,3.785,-13.63,46.15,814.054,0,161.6
1/1/2021 16:14,16:14,4.506,-13.76,49.55,814.16,0,168.9
1/1/2021 16:29,16:29,3.125,-14.22,55.66,814.256,0,166.3
1/1/2021 16:44,16:44,3.821,-14.26,56.34,814.211,0,161.2
1/1/2021 16:59,16:59,3.786,-14.37,58,814.251,0,168.1
1/1/2021 17:14,17:14,3.743,-14.39,57.51,814.285,0,178.6
1/1/2021 17:29,17:29,3.78,-14.37,55.49,814.4,0,186.3
1/1/2021 17:44,17:44,2.878,-14.49,60.4,814.513,0,205.9
1/1/2021 17:59,17:59,3.071,-14.5,57.17,814.582,0,196.4
1/1/2021 18:14,18:14,0.972,-15.9,62.83,814.764,0,99.4
1/1/2021 18:29,18:29,1.391,-15.13,56.2,814.797,0,136.9
1/1/2021 18:44,18:44,0.946,-15.98,59.8,814.815,0,278.7
1/1/2021 18:59,18:59,2.379,-16.29,57.11,814.778,0,334.8
1/1/2021 19:14,19:14,2.543,-16.16,59.19,814.777,0,320.2
1/1/2021 19:29,19:29,2.263,-16.05,58.5,814.708,0,315.5
1/1/2021 19:44,19:44,2.49,-16.14,59.46,814.634,0,327.7
1/1/2021 19:59,19:59,2.831,-16.18,59.13,814.609,0,316.4
1/1/2021 20:14,20:14,2.95,-16.2,58.73,814.455,0,310.4
1/1/2021 20:29,20:29,3.253,-16.42,59.43,814.292,0,310.7
1/1/2021 20:44,20:44,3.304,-15.95,58.09,814.186,0,305.8
1/1/2021 20:59,20:59,1.607,-15.76,63.11,814.091,0,306.6
1/1/2021 21:14,21:14,1.326,-16.2,65.73,813.958,0,199.8
